"parent_code","parent_total_weight","item_code","item_weight","weight_within_parent_index"
NA,NA,"PALLFNF",NA,NA
"PALLFNF",1,"PNRG",40.9,0.409
"PALLFNF",1,"PNFUEL",59.1,0.591
"PNRG",0.409,"PCOAL",3,0.0733496332518337
"PNRG",0.409,"POILAPSP",28.6,0.699266503667482
"PNRG",0.409,"PNGAS",7.8,0.190709046454768
"PNRG",0.409,"PPROPANE",1.5,0.0366748166259169
"PCOAL",0.03,"PCOALAU",1.5,0.5
"PCOAL",0.03,"PCOALSA",1.5,0.5
"POILAPSP",0.286,"POILBRE",9.53,0.333216783216783
"POILAPSP",0.286,"POILDUB",9.53,0.333216783216783
"POILAPSP",0.286,"POILWTI",9.53,0.333216783216783
"PNGAS",0.078,"PNGASEU",2.6,0.333333333333333
"PNGAS",0.078,"PNGASJP",2.6,0.333333333333333
"PNGAS",0.078,"PNGASUS",2.6,0.333333333333333
"PNFUEL",0.591,"PAGRI",34.5,0.583756345177665
"PNFUEL",0.591,"PFERT",1.9,0.0321489001692047
"PAGRI",0.345,"PFOOD",27.8,0.805797101449275
"PAGRI",0.345,"PBEVE",2.3,0.0666666666666667
"PAGRI",0.345,"PRAWM",4.3,0.12463768115942
"PFOOD",0.278,"PCERE",3.5,0.12589928057554
"PFOOD",0.278,"PVOIL",5.7,0.205035971223022
"PFOOD",0.278,"INFERRED_OTHERFOOD",8.4,0.302158273381295
"PFOOD",0.278,"PMEAT",4.9,0.176258992805755
"PFOOD",0.278,"PSEAF",3.9,0.140287769784173
"PCERE",0.035,"PRICENPQ",0.6,0.171428571428571
"PCERE",0.035,"PWHEAMT",1.4,0.4
"PCERE",0.035,"PMAIZMT",1.1,0.314285714285714
"PCERE",0.035,"PBARL",0.2,0.0571428571428571
"PCERE",0.035,"PSORG",0.1,0.0285714285714286
"PCERE",0.035,"POATS",0.1,0.0285714285714286
"PVOIL",0.057,"PSOYB",1.8,0.315789473684211
"PVOIL",0.057,"PSOIL",0.3,0.0526315789473684
"PVOIL",0.057,"PSMEA",0.8,0.140350877192982
"PVOIL",0.057,"PPOIL",1.1,0.192982456140351
"Unknown/None",NA,"PCOIL",NA,NA
"INFERRED_OTHERFOOD",0.084,"PGNUTS",1,0.119047619047619
"PVOIL",0.057,"POLVOIL",0.3,0.0526315789473684
"PVOIL",0.057,"PROIL",0.9,0.157894736842105
"PVOIL",0.057,"PSUNO",0.4,0.0701754385964912
"INFERRED_OTHERFOOD",0.084,"PMILK",0.9,0.107142857142857
"INFERRED_OTHERFOOD",0.084,"PFSHMEAL",0.1,0.0119047619047619
"INFERRED_OTHERFOOD",0.084,"PCHANA",0.4,0.0476190476190476
"INFERRED_OTHERFOOD",0.084,"PAPPLE",1.2,0.142857142857143
"INFERRED_OTHERFOOD",0.084,"PTOMATO",2.8,0.333333333333333
"PFOOD",0.278,"PSUGA",1.5,0.0539568345323741
"INFERRED_OTHERFOOD",0.084,"PBANSOP",0.9,0.107142857142857
"INFERRED_OTHERFOOD",0.084,"PORANG",1.1,0.130952380952381
"PMEAT",0.049,"PBEEF",2.1,0.428571428571429
"PMEAT",0.049,"PPOULT",1,0.204081632653061
"PMEAT",0.049,"PLAMB",0.3,0.0612244897959184
"PMEAT",0.049,"PPORK",1.5,0.306122448979592
"PSEAF",0.039,"PSHRI",1.4,0.358974358974359
"PSEAF",0.039,"PSALM",2.5,0.641025641025641
"PSUGA",0.015,"PSUGAISA",0.75,0.5
"PSUGA",0.015,"PSUGAUSA",0.75,0.5
"PBEVE",0.023,"PCOFF",1.5,0.652173913043478
"PBEVE",0.023,"PCOCO",0.6,0.260869565217391
"PBEVE",0.023,"PTEA",0.2,0.0869565217391304
"PCOFF",0.015,"PCOFFOTM",0.74,0.493333333333333
"PCOFF",0.015,"PCOFFROB",0.74,0.493333333333333
"PTEA",0.02,"PTEAINDIA",0.666666666666667,0.333333333333333
"PTEA",0.02,"PTEAMOM",0.666666666666667,0.333333333333333
"PTEA",0.02,"PTEASL",0.666666666666667,0.333333333333333
"PRAWM",0.043,"PTIMB",2.2,0.511627906976744
"PRAWM",0.043,"PCOTTIND",0.8,0.186046511627907
"PRAWM",0.043,"PRUBB",0.8,0.186046511627907
"PRAWM",0.043,"PHIDE",0.2,0.0465116279069767
"PRAWM",0.043,"PWOOL",0.3,0.0697674418604651
"PWOOL",0.003,"PWOOLC",0.2,0.666666666666667
"PWOOL",0.003,"PWOOLF",0.2,0.666666666666667
"PTIMB",0.022,"PHARD",1,0.454545454545455
"PTIMB",0.022,"PSOFT",1.2,0.545454545454545
"PHARD",0.01,"PSAWMAL",0.7,0.7
"PHARD",0.01,"PLOGSK",0.3,0.3
"PSOFT",0.012,"PSAWORE",0.9,0.75
"PSOFT",0.012,"PLOGORE",0.3,0.25
"PNFUEL",0.591,"PALLMETA",22.7,0.38409475465313
"PALLMETA",0.227,"PPMETA",11.6,0.511013215859031
"PALLMETA",0.227,"PMETA",11.2,0.493392070484581
"PMETA",0.112,"PIORECR",3.4,0.303571428571429
"PMETA",0.112,"PALUM",1.6,0.142857142857143
"PMETA",0.112,"PCOBA",0.1,0.00892857142857143
"PMETA",0.112,"PCOPP",3.4,0.303571428571429
"PMETA",0.112,"PLEAD",0.4,0.0357142857142857
"PMETA",0.112,"PLMMODY",0.6,0.0535714285714286
"PMETA",0.112,"PNICK",0.7,0.0625
"PMETA",0.112,"PTIN",0.2,0.0178571428571429
"PMETA",0.112,"PURAN",0.4,0.0357142857142857
"PMETA",0.112,"PZINC",0.6,0.0535714285714286
"PFERT",0.019,"PDAP",0.5,0.263157894736842
"PFERT",0.019,"PPOTASH",0.6,0.315789473684211
"PFERT",0.019,"PUREA",0.9,0.473684210526316
"PPMETA",0.114,"PGOLD",10.2,0.894736842105263
"PPMETA",0.114,"PSILVER",0.7,0.0614035087719298
"PPMETA",0.114,"PPLAT",0.3,0.0263157894736842
"PPMETA",0.114,"PPALLA",0.3,0.0263157894736842
