"dataset_id","indicator_code"
"PCPS","PRAWM"
"PCPS","PAGRI"
"PCPS","PALLFNF"
"PCPS","PEXGMETA"
"PCPS","PALLMETA"
"PCPS","PALUM"
"PCPS","POILAPSP"
"PCPS","PBANSOP"
"PCPS","PBARL"
"PCPS","PBEEF"
"PCPS","PBEVE"
"PCPS","POILBRE"
"PCPS","PCERE"
"PCPS","PCHROM"
"PCPS","PCOAL"
"PCPS","PCOALAU"
"PCPS","PCOALSA"
"PCPS","PCOBA"
"PCPS","PCOCO"
"PCPS","PCOIL"
"PCPS","PCOFF"
"PCPS","PCOFFOTM"
"PCPS","PCOFFROB"
"PCPS","PEXGALL"
"PCPS","PCOPP"
"PCPS","PMAIZMT"
"PCPS","PCOTTIND"
"PCPS","PMILK"
"PCPS","PDAP"
"PCPS","POILDUB"
"PCPS","PNRG"
"PCPS","PENTM"
"PCPS","PFERT"
"PCPS","PSALM"
"PCPS","PFSHMEAL"
"PCPS","PFANDB"
"PCPS","PFOOD"
"PCPS","PGASO"
"PCPS","PGOLD"
"PCPS","PGNUTS"
"PCPS","PLOGSK"
"PCPS","PSAWMAL"
"PCPS","PHARD"
"PCPS","PHEATOIL"
"PCPS","PHIDE"
"PCPS","PINDU"
"PCPS","PIORECR"
"PCPS","PLAMB"
"PCPS","PLEAD"
"PCPS","PCHANA"
"PCPS","PLITH"
"PCPS","PNGASJP"
"PCPS","LMICS"
"PCPS","PMANGELE"
"PCPS","PMEAT"
"PCPS","PMETA"
"PCPS","PLMMODY"
"PCPS","PNGAS"
"PCPS","PNGASEU"
"PCPS","PNGASUS"
"PCPS","PNICK"
"PCPS","PAPPLE"
"PCPS","PNFUEL"
"PCPS","POATS"
"PCPS","POLVOIL"
"PCPS","PORANG"
"PCPS","PPALLA"
"PCPS","PPOIL"
"PCPS","PPLAT"
"PCPS","PPOTASH"
"PCPS","PPOULT"
"PCPS","PPMETA"
"PCPS","PPROPANE"
"PCPS","PROIL"
"PCPS","PREODOM"
"PCPS","PRICENPQ"
"PCPS","PRUBB"
"PCPS","PSEAF"
"PCPS","PSHRI"
"PCPS","PSILLUMP"
"PCPS","PSILVER"
"PCPS","PLOGORE"
"PCPS","PSAWORE"
"PCPS","PSOFT"
"PCPS","PSORG"
"PCPS","PSMEA"
"PCPS","PSOYB"
"PCPS","PSOIL"
"PCPS","PSUGA"
"PCPS","PSUGAISA"
"PCPS","PSUGAUSA"
"PCPS","PSUNO"
"PCPS","PPORK"
"PCPS","PTEASL"
"PCPS","PTEA"
"PCPS","PTEAINDIA"
"PCPS","PTEAMOM"
"PCPS","PTIMB"
"PCPS","PTIN"
"PCPS","PURAN"
"PCPS","PUREA"
"PCPS","PVANPENT"
"PCPS","PVOIL"
"PCPS","PTOMATO"
"PCPS","PWHEAMT"
"PCPS","PWOOL"
"PCPS","PWOOLC"
"PCPS","PWOOLF"
"PCPS","POILWTI"
"PCPS","PZINC"
